Ticker,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15
AMPY,0.021950698930333322,0.10441066998835,-0.013949665661929388,0.023649454026215877,0.02346843790078384,-0.023515447094311467,0.017146981662043276,-0.03831010260376989,-0.007484489693494092,-0.02791684190409548,-0.04142497637357604,-0.00010904114204502661,-0.027891905006949852,-0.011131641516588164,-0.014817025825698155
AMRN,0.00028263574562020777,0.0018445793212090375,-0.016183421317311087,0.003328682135897049,-0.0009277674498683729,-0.023831950429660978,0.02830409145351311,-0.01725269131263143,0.03947892023184717,-0.005717849184391414,0.013900662325581516,0.007928609890145872,-0.007875461815734031,-0.00478514439633958,0.020626251138488528
AMSF,-0.034684340936421566,-0.004796329330115262,0.035681280936375494,0.04703198544764502,-0.018459021842885615,0.03980715207852837,-0.025566155889399964,0.030345418676505545,-0.03448153809575769,-0.03152459272581002,-0.041561047413954985,0.02235624468365873,0.050675153198111084,-0.05164666527018714,-0.031357787365845345
AMTB,0.01924070065822673,-0.023825275161545117,0.022493900560265685,0.03225439826208211,-0.04486321893467925,0.040156525739151655,-0.027702774633331907,-0.05763685323389355,-0.005730885159295731,-0.010404871126846743,-0.01508602177882565,0.01612274092657852,0.03634752229510771,-0.02128858498954809,-0.003513583999110623
AMTX,0.015469680317059878,0.025384456463043603,0.006064122175206794,-0.004094340677968224,-0.03293201765660021,-0.017011038545794575,-0.02415411274183868,-0.017115801265362076,0.008009217721884268,-0.04003924743143362,-0.009801952686237585,-0.008367863210916655,-0.01750838150945202,0.026167900928001628,0.012016397961538649
ANGI,0.006740010971547335,-0.01955905480779338,-0.00962437909568521,0.03408682856336952,-0.012696039461623992,-0.06667927477301053,0.01690708240510659,-0.007261823036584907,0.01720952959899918,-0.030259521977065062,-0.04068499826520067,-0.006502071793748451,0.03972173364739688,0.002193157195067576,-0.021359434618434547
ANGO,-0.013416493029628319,0.016489746209853905,0.013779594065070228,-0.010317428658333579,-0.0014802464401696142,0.008525324631302254,-0.004360889968757459,-0.02965434281099552,-0.02215865499339252,0.028131818099117578,-0.012228668578994883,0.026786939667982512,0.0178301144084406,0.025899834594793003,0.01451844643146032
ANIK,-0.018429452665779732,-0.011291117316375637,0.011216929686549486,0.013260639818084398,0.014073493807311419,0.020844179210963855,0.02378990521569408,0.004209847267241222,-0.013079023730728423,0.04530391128190835,-0.014029510131490664,-0.0176232811934174,0.006979124423289549,-0.033408535978518186,-0.023531142059206228
ANIX,0.0014245593749550533,0.023650067538369603,0.024165061346138023,-0.0024898750094181307,0.01181628149518633,0.011164194253871836,0.004328403478230898,0.002122798058976233,0.01142920152946509,0.004087352681717482,0.01236353176079074,0.028677433056407423,-0.01589264742675564,-0.007864154215339586,0.009049216219588365
AP,0.004192755602819518,-0.007246433515818693,-0.006226941926947617,-0.020273009004337872,0.0023788332226680232,0.011584523980038702,-0.017763886346734495,0.012412389847177172,0.04035332443410912,0.018029248338380245,0.057026025629327584,-0.00302485449752706,0.020656072682621842,-0.02357842818591767,0.01953474255661106
APOG,-0.014033479479261455,0.007739417636128007,-0.026135256873755824,-0.01582551514022504,0.040782144711820116,0.029699858601495644,-0.03503803376156614,0.05275835657601799,0.0005422400668234802,0.021322879370498083,-0.0005864854656750709,-0.00684515281462319,0.010720871953630837,-0.029112508522227194,-0.0035104849414278093
