Ticker,Robotics & AI,AI Infrastructure,Clean Energy,Cybersecurity,Defense,Fintech,US Infrastructure,Agribusiness,Critical Minerals,Water,Timber & Forestry
SHOE,-0.06799115036278304,0.17208781417806082,0.2219182359870153,-0.040495784185183105,-0.06870689072698509,0.10398836747955073,-0.20286781632963932,0.29351527571610947,0.04344112005006625,0.048108536678728796,-0.1605792166106773
SIBN,-0.09375673378028918,-0.04798279198585429,-0.4682336153230824,-0.19640227834006874,0.23246580082317972,0.10263326724218087,-0.098037882661374,-0.30579777552336496,-0.3049402672528432,0.13590770302831567,-0.2383124848263782
SIEB,-0.3101285519006146,-0.21540503976281342,-0.14121664741460643,-0.12540694043266293,-0.2176738589195992,0.26249237640904177,-0.2328256748374434,-0.4051190503380912,0.13139468891560543,-0.09566954832789609,0.16743126883152581
SIGA,0.009708780811298804,0.0599915943319119,0.42371053228213656,0.13070989980613013,0.233211705032978,-0.2554811331379447,0.05287361063041949,-0.08796831493348864,0.6514014186516752,0.1371527259719288,0.1789465138185251
SILC,0.5843150497577749,0.4739224658254342,0.09777735074863804,0.49169939800123474,0.5533409540640079,-0.049720016941863746,0.07554280800350582,-0.1033522230212999,0.021808901210729283,0.05467032676492072,0.013477705186044001
SITC,-0.3721435775583057,0.12845148337456022,-0.05924728721667955,-0.05061219576919947,-0.4528135522517962,0.19359302222028538,-0.24553571460649445,-0.14434309025125014,-0.0954593534996292,-0.07160259915884737,-0.15724521123661672
SLGL,0.23645109203094333,0.6283106504136774,0.38406194377186104,0.548250177016465,0.26938064020831837,-0.18177270953840774,-0.08235146832633185,-0.12397711841622677,0.21139025450367263,0.01811416363499655,-0.23007522729944374
SLNG,0.21964352498082612,0.054998163688159143,0.21770032639006764,-0.11966549285881224,0.27890771556461436,0.09743924112093154,0.19018914613525614,0.4042214677175485,-0.016843478556130272,0.022011222115710587,-0.1646883792178732
SLNH,0.14897716328039423,0.1618843706468424,0.37054847206427866,0.429754350359957,0.16723513261673134,0.02328085706492989,-0.042722501597383646,0.35509413249569144,0.19446052067585817,-0.21841009607781114,0.045177905410655375
SLSN,-0.30102051237061794,-0.26020990039714004,0.19668813532783835,-0.09405593834972471,-0.14254874917310567,0.29872615081065845,-0.19632154818401876,-0.11869904617027963,0.5652388874858603,-0.044148283463842454,0.43560864207974215
SMBC,-0.2513753327139846,-0.11179930126658853,-0.2739234018942925,0.1282891296425002,0.16597542308980603,0.08984738052786884,-0.1977637284359292,-0.38569611836744594,-0.29569681176771073,-0.2621067438724164,-0.3643235816473371
SMBK,-0.18364867467240212,0.07090333869077493,-0.23339186636958678,-0.03544422447726566,0.13546076445272082,0.059303758358126,-0.10534516691071008,-0.3860262130328705,-0.34463015226959415,-0.15387859950358768,-0.506282670667647
SMC,0.05654639972058442,-0.16974916461525658,0.030397672464638245,-0.35965703596480114,0.04064921982257298,0.4148702611516156,0.1353679828865713,0.2121455459104872,0.1666368712167995,-0.09494774521274853,0.22447106482716014
SMHI,0.25128529533903204,0.1292776958562621,0.22663165833177687,-0.07944454416085389,0.2636247215910278,0.16354058998025622,0.17855064672950324,0.2832145403269678,0.23313554508722537,-0.04226377402414667,0.07900367453822858
SMID,-0.09786999036230074,-0.14214726863726984,0.35709093413768916,-0.13697080486920063,-0.14006824188651745,0.1543474366046467,0.05291209358490875,-0.21693541846615622,0.5995282425488155,0.06094379411595402,0.36548496971606037
SMTI,-0.1930415788706015,0.23885450138570238,-0.287653298016267,0.4608082726902829,-0.022568409562016865,0.3529967075978384,-0.22551181004050422,-0.34822166754376477,-0.010034531660537305,0.08987508113770964,0.06582440666279923
SND,0.26640352709914233,-0.06844536733111568,-0.07991347877554195,0.11479781597013529,0.04101280607001327,0.00743320502756852,0.2243608629984185,0.3360223170705614,0.013778461650604354,-0.02992895327249717,0.3345852707364299
SNFCA,-0.2180577078078566,-0.11343420711659549,-0.03577913013713063,0.10067083429249217,-0.23791225089426749,0.4849004399632244,-0.2786313696954211,-0.44374069831265067,0.28482781424706155,-0.08889456010298566,0.24132361202062355
SOTK,0.18723892890918303,0.22963249516870846,-0.13341316139900447,0.02782479752616546,0.2696949628603812,-0.2921821447987699,-0.05124890774756181,-0.08363485782759698,-0.3450947881064808,-0.13287839442633465,-0.3752661181828521
SOWG,-0.05628577676969889,0.03267395652900926,0.359612517336393,0.26982023801078253,-0.20174140087407194,0.1435890654645961,-0.11494580725870633,0.16884053208198932,0.48368034365250856,-0.024444032914748948,0.3678756011035361
SPCB,0.3502791561371556,0.21369038476341415,0.2764172972486063,0.2536975532341195,0.3678817181432419,0.1816147067900946,-0.09806398243996338,0.008653842532144658,0.16775631917366224,-0.1608776315896479,0.013030744367331095
SPCE,0.1728273579925191,0.3259051435662437,0.4210575804389323,0.08371984142499134,0.06951936526938167,0.22968294212834123,-0.2770045243551768,0.06816744695730496,0.194258887698823,0.056451790375962915,-0.02942504381501573
