rebalance_date,theme,ticker,weight
2022-01-28,Clean Energy,WNEB,0.03333333333333333
2022-01-28,Clean Energy,PERI,0.03333333333333333
2022-01-28,Clean Energy,ANGO,0.03333333333333333
2022-01-28,Clean Energy,PDLB,0.03333333333333333
2022-01-28,Clean Energy,TAYD,0.03333333333333333
2022-01-28,Clean Energy,CDZI,0.03333333333333333
2022-01-28,Clean Energy,FISI,0.03333333333333333
2022-01-28,Clean Energy,PAMT,0.03333333333333333
2022-01-28,Clean Energy,MVBF,0.03333333333333333
2022-01-28,Critical Minerals,ERII,0.03333333333333333
2022-01-28,Critical Minerals,AVD,0.03333333333333333
2022-01-28,Critical Minerals,ALRS,0.03333333333333333
2022-01-28,Critical Minerals,FRPH,0.03333333333333333
2022-01-28,Critical Minerals,MAGN,0.03333333333333333
2022-01-28,Critical Minerals,CSTE,0.03333333333333333
2022-01-28,Critical Minerals,FNLC,0.03333333333333333
2022-01-28,Critical Minerals,WTBA,0.03333333333333333
2022-01-28,Critical Minerals,OPBK,0.03333333333333333
2022-01-28,Critical Minerals,EBF,0.03333333333333333
2022-01-28,Critical Minerals,TCX,0.03333333333333333
2022-01-28,Critical Minerals,UNB,0.03333333333333333
2022-01-28,Critical Minerals,HIFS,0.03333333333333333
2022-01-28,Critical Minerals,ACNB,0.03333333333333333
2022-01-28,Critical Minerals,FNWD,0.03333333333333333
2022-01-28,Critical Minerals,KRO,0.03333333333333333
2022-01-28,Critical Minerals,DJCO,0.03333333333333333
2022-01-28,Critical Minerals,CZFS,0.03333333333333333
2022-01-28,Critical Minerals,MBWM,0.03333333333333333
2022-01-28,Critical Minerals,OEC,0.03333333333333333
2022-01-28,Critical Minerals,WNC,0.03333333333333333
2022-01-28,Critical Minerals,USNA,0.03333333333333333
2022-01-28,Critical Minerals,GSBC,0.03333333333333333
2022-01-28,Critical Minerals,FVCB,0.03333333333333333
2022-01-28,Critical Minerals,OVLY,0.03333333333333333
2022-01-28,Critical Minerals,VHI,0.03333333333333333
2022-01-28,Critical Minerals,GWRS,0.03333333333333333
2022-01-28,Critical Minerals,HCKT,0.03333333333333333
2022-01-28,Critical Minerals,FLXS,0.03333333333333333
2022-01-28,Critical Minerals,SSTK,0.03333333333333333
2022-01-28,Cybersecurity,EBMT,0.03333333333333333
2022-01-28,Cybersecurity,CABO,0.03333333333333333
2022-01-28,Cybersecurity,EBF,0.03333333333333333
2022-01-28,Cybersecurity,FNRN,0.03333333333333333
2022-01-28,Cybersecurity,CFFI,0.03333333333333333
2022-01-28,Cybersecurity,OFIX,0.03333333333333333
2022-01-28,Cybersecurity,LARK,0.03333333333333333
2022-01-28,Cybersecurity,SELF,0.03333333333333333
2022-01-28,Cybersecurity,CASS,0.03333333333333333
2022-01-28,Cybersecurity,CBAN,0.03333333333333333
2022-01-28,Cybersecurity,TSBK,0.03333333333333333
2022-01-28,Cybersecurity,BCAL,0.03333333333333333
2022-01-28,Cybersecurity,CFBK,0.03333333333333333
2022-01-28,Cybersecurity,SPOK,0.03333333333333333
2022-01-28,Cybersecurity,EGHT,0.03333333333333333
2022-01-28,Cybersecurity,WSBF,0.03333333333333333
2022-01-28,Cybersecurity,VLGEA,0.03333333333333333
2022-01-28,Cybersecurity,RPD,0.03333333333333333
2022-01-28,Cybersecurity,HWBK,0.03333333333333333
2022-01-28,Cybersecurity,MLAB,0.03333333333333333
2022-01-28,Cybersecurity,HURC,0.03333333333333333
2022-01-28,Cybersecurity,FCCO,0.03333333333333333
2022-01-28,Cybersecurity,ULH,0.03333333333333333
2022-01-28,Cybersecurity,EVO,0.03333333333333333
2022-01-28,Cybersecurity,JOUT,0.03333333333333333
2022-01-28,Cybersecurity,HELE,0.03333333333333333
2022-01-28,Cybersecurity,PDLB,0.03333333333333333
2022-01-28,Cybersecurity,MNSB,0.03333333333333333
2022-01-28,Cybersecurity,CBFV,0.03333333333333333
2022-01-28,Cybersecurity,EGBN,0.03333333333333333
2022-01-28,Defense,BBDC,0.03333333333333333
2022-01-28,Defense,FBIZ,0.03333333333333333
2022-01-28,Defense,APOG,0.03333333333333333
2022-01-28,Defense,SELF,0.03333333333333333
2022-01-28,Defense,WSBF,0.03333333333333333
2022-01-28,Defense,CBFV,0.03333333333333333
2022-01-28,Defense,CABO,0.03333333333333333
2022-01-28,Defense,OFIX,0.03333333333333333
2022-01-28,Defense,GHI,0.03333333333333333
2022-01-28,Defense,FISI,0.03333333333333333
2022-01-28,Defense,NECB,0.03333333333333333
2022-01-28,Defense,CASS,0.03333333333333333
2022-01-28,Defense,LARK,0.03333333333333333
2022-01-28,Defense,JMSB,0.03333333333333333
2022-01-28,Defense,ISBA,0.03333333333333333
2022-01-28,Defense,ARQ,0.03333333333333333
2022-01-28,Defense,EBF,0.03333333333333333
2022-01-28,Defense,FRAF,0.03333333333333333
2022-01-28,Defense,CTO,0.03333333333333333
2022-01-28,Defense,FCCO,0.03333333333333333
2022-01-28,Defense,TSBK,0.03333333333333333
2022-01-28,Defense,NRIM,0.03333333333333333
2022-01-28,Defense,GILT,0.03333333333333333
